,Timestamp,Impressions
0,2021-11-16 15:58:39,1477
1,2021-11-16 16:07:29,1586
2,2021-11-16 16:52:25,2339
3,2021-11-16 17:10:42,2969
4,2021-11-16 18:55:49,3193
5,2021-11-16 19:24:14,3400
6,2021-11-16 19:46:31,3447
7,2021-11-17 05:53:00,66825
8,2021-11-17 05:56:47,66865
9,2021-11-17 05:57:44,66959
10,2021-11-17 05:58:03,67226
11,2021-11-17 05:59:18,67397
12,2021-11-17 06:01:42,67428
13,2021-11-17 06:01:47,67531
14,2021-11-17 06:04:07,67730
15,2021-11-17 06:04:16,67845
16,2021-11-17 06:05:34,68667
17,2021-11-17 06:08:22,70902
18,2021-11-17 06:10:12,71291
19,2021-11-17 06:10:52,71395
20,2021-11-17 06:11:40,71528
21,2021-11-17 06:15:58,72167
22,2021-11-17 06:16:31,72228
23,2021-11-17 06:21:14,73218
24,2021-11-17 06:23:51,74712
25,2021-11-17 06:24:32,74759
26,2021-11-17 06:36:15,74799
27,2021-11-17 06:36:58,75517
28,2021-11-17 06:44:37,75781
29,2021-11-17 06:47:41,76888
30,2021-11-17 06:48:39,76901
31,2021-11-17 06:48:46,77143
32,2021-11-17 06:49:23,78935
33,2021-11-17 06:51:09,78972
34,2021-11-17 06:52:54,78985
35,2021-11-17 06:53:34,78990
36,2021-11-17 07:04:17,79259
37,2021-11-17 07:08:14,80570
38,2021-11-17 07:10:25,81031
39,2021-11-17 07:10:32,81223
40,2021-11-17 07:22:33,81223
41,2021-11-17 07:24:24,81349
42,2021-11-17 07:31:59,82241
43,2021-11-17 07:38:53,82276
44,2021-11-17 07:42:15,82417
45,2021-11-17 07:48:29,82463
46,2021-11-17 07:58:35,82869
47,2021-11-17 08:03:27,82956
48,2021-11-17 08:24:01,89699
49,2021-11-17 08:25:34,89717
50,2021-11-17 08:25:38,89884
51,2021-11-17 08:25:45,89941
52,2021-11-17 08:32:03,90984
53,2021-11-17 08:32:15,90995
54,2021-11-17 08:50:39,91876
55,2021-11-17 09:24:22,99589
56,2021-11-17 09:25:43,99592
57,2021-11-17 09:34:48,99640
58,2021-11-17 09:46:32,99667
59,2021-11-17 10:17:39,99713
60,2021-11-17 10:25:21,100120
61,2021-11-17 10:44:30,100182
62,2021-11-17 10:51:21,100241
63,2021-11-17 10:59:48,100317
64,2021-11-17 11:20:32,100554
65,2021-11-17 11:36:19,100715
66,2021-11-17 11:56:35,100990
67,2021-11-17 12:26:41,101029
68,2021-11-17 12:27:31,101199
69,2021-11-17 12:37:48,102367
70,2021-11-17 13:00:59,102612
71,2021-11-17 13:05:35,102657
72,2021-11-17 13:59:57,102745
73,2021-11-17 14:11:33,102870
74,2021-11-17 15:47:38,104279
75,2021-11-17 16:13:10,104319
76,2021-11-17 16:27:15,104346
77,2021-11-17 17:55:13,104434
78,2021-11-17 17:59:32,104444
79,2021-11-17 18:23:21,104559
80,2021-11-17 19:03:14,104633
81,2021-11-17 19:32:22,109518
82,2021-11-17 19:49:11,109588
83,2021-11-17 21:53:56,109630
84,2021-11-17 22:24:01,109643
85,2021-11-17 22:27:39,109858
86,2021-11-18 04:28:42,109866
87,2021-11-18 17:29:28,110094
88,2021-11-18 21:16:33,111133
89,2021-11-19 04:20:26,111247
90,2021-11-19 06:43:18,111276
91,2021-11-27 15:32:36,111355
